EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EmployeeCount,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Age_Group
1,51,No,Travel_Rarely,Sales,6,College,Life Sciences,1,Female,1,Healthcare Representative,Married,131160,1.0,Y,11,8,0,1.0,6,1,0,0,3.0,4.0,2.0,3,3,51-60
2,31,Yes,Travel_Frequently,Research & Development,10,Below College,Life Sciences,1,Female,1,Research Scientist,Single,41890,0.0,Y,23,8,1,6.0,3,5,1,4,3.0,2.0,4.0,2,4,24-33
3,32,No,Travel_Frequently,Research & Development,17,Master,Other,1,Male,4,Sales Executive,Married,193280,1.0,Y,15,8,3,5.0,2,5,0,3,2.0,2.0,1.0,3,3,24-33
4,38,No,Non-Travel,Research & Development,2,Doctor,Life Sciences,1,Male,3,Human Resources,Married,83210,3.0,Y,11,8,3,13.0,5,8,7,5,4.0,4.0,3.0,2,3,33-42
5,32,No,Travel_Rarely,Research & Development,10,Below College,Medical,1,Male,1,Sales Executive,Single,23420,4.0,Y,12,8,2,9.0,2,6,0,4,4.0,1.0,3.0,3,3,24-33
6,46,No,Travel_Rarely,Research & Development,8,Bachelor,Life Sciences,1,Female,4,Research Director,Married,40710,3.0,Y,13,8,0,28.0,5,7,7,7,3.0,2.0,2.0,3,3,42-51
7,28,Yes,Travel_Rarely,Research & Development,11,College,Medical,1,Male,2,Sales Executive,Single,58130,2.0,Y,20,8,1,5.0,2,0,0,0,1.0,3.0,1.0,3,4,24-33
8,29,No,Travel_Rarely,Research & Development,18,Bachelor,Life Sciences,1,Male,2,Sales Executive,Married,31430,2.0,Y,22,8,3,10.0,2,0,0,0,1.0,2.0,3.0,3,4,24-33
9,31,No,Travel_Rarely,Research & Development,1,Bachelor,Life Sciences,1,Male,3,Laboratory Technician,Married,20440,0.0,Y,21,8,0,10.0,2,9,7,8,2.0,4.0,3.0,3,4,24-33
10,25,No,Non-Travel,Research & Development,7,Master,Medical,1,Female,4,Laboratory Technician,Divorced,134640,1.0,Y,13,8,1,6.0,2,6,1,5,2.0,1.0,3.0,3,3,24-33
11,45,No,Travel_Rarely,Research & Development,17,College,Medical,1,Male,2,Laboratory Technician,Married,79910,0.0,Y,13,8,2,21.0,2,20,4,10,3.0,4.0,3.0,2,3,42-51
12,36,No,Travel_Rarely,Research & Development,28,Below College,Life Sciences,1,Male,1,Laboratory Technician,Married,33770,0.0,Y,12,8,2,16.0,2,15,10,11,3.0,4.0,3.0,3,3,33-42
13,55,No,Travel_Rarely,Research & Development,14,Master,Life Sciences,1,Female,1,Sales Executive,Single,55380,0.0,Y,17,8,0,37.0,2,36,4,13,4.0,1.0,3.0,3,3,51-60
